Auxiliary column,policy,seed,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
0,RPB,2026,52023835.4,52023835.4,24GX_2401/24GX_2401.lp,4585,6822,1047799,2955,0,0,0,1288,1475,0,optimal,582,0,1474.468,1448.031,1,1,753,272,1475,1,1,1
1,Gasse,2026,52023835.4,52023835.4,24GX_2401/24GX_2401.lp,2735,4642,1047568,1418,19.435,111.527,0,1210,1327,0,optimal,0,0,1327.586,1297.469,1,1.11,408,135,1327,2.42,0.8,3.79
2,Wei,2026,52023835.4,51961046.5,24GX_2401/24GX_2401.lp,5390,6731,1005738,2797,42.06,200.241,0,1636,1800,0.001208,timelimit,0,0,1799.93,1757,1,0.82,395,113,1800,2.68,0.82,3.82
3,NoPgraph,2026,52033958.7,51922601.7,24GX_2401/24GX_2401.lp,4105,5670,1163498,2232,33.432,166.073,0,1600,1800,0.002145,timelimit,0,0,1799.934,1741.891,1,0.82,399,113,1800,2.64,0.82,5.08
4,PGNN,2026,52023835.4,52023835.4,24GX_2401/24GX_2401.lp,4628,5977,1033275,2388,35.848,169.371,0,1530,1718,0,optimal,0,0,1718.419,1676.031,1,0.86,407,131,1718,2.63,0.86,4.37
0,RPB,2026,52079044.6,52079044.6,24GX_2402/24GX_2402.lp,6686,9594,905329,5219,0,0,0,1255,1366,0,optimal,1530,0,1366.601,1350.344,2,1,,,,,,
1,Gasse,2026,52079044.6,52079044.6,24GX_2402/24GX_2402.lp,1012,1794,357323,545,4.695,33.214,0,250,360,0,optimal,0,0,359.969,359.078,2,3.79,,,,,,
2,Wei,2026,52079044.6,52079044.6,24GX_2402/24GX_2402.lp,931,1892,362326,513,4.517,30.44,0,248,358,0,optimal,0,0,357.757,356.75,2,3.82,,,,,,
3,NoPgraph,2026,52079044.6,52079044.6,24GX_2402/24GX_2402.lp,599,1576,281350,335,2.987,21.699,0,159,269,0,optimal,0,0,268.969,267.266,2,5.08,,,,,,
4,PGNN,2026,52079044.6,52079044.6,24GX_2402/24GX_2402.lp,789,1696,319613,444,3.947,30.242,0,207,317,0,optimal,0,0,317.312,314.422,2,4.31,,,,,,
0,RPB,2026,52735710.5,52735710.5,24GX_2403/24GX_2403.lp,1362,3147,475935,852,0,0,0,538,636,0,optimal,160,0,635.51,627.188,3,1,,,,,,
1,Gasse,2026,52735710.5,52735710.5,24GX_2403/24GX_2403.lp,1540,2797,301538,827,6.879,39.216,0,254,353,0,optimal,0,0,353.27,353.406,3,1.8,,,,,,
2,Wei,2026,52735710.5,52735710.5,24GX_2403/24GX_2403.lp,491,1867,270657,257,2.341,20.41,0,156,255,0,optimal,0,0,254.881,253.047,3,2.49,,,,,,
3,NoPgraph,2026,52735710.5,52735710.5,24GX_2403/24GX_2403.lp,392,1945,258244,215,2.016,14.868,0,146,246,0,optimal,0,0,245.562,243.406,3,2.59,,,,,,
4,PGNN,2026,52735710.5,52735710.5,24GX_2403/24GX_2403.lp,422,1795,240793,236,2.165,14.376,0,140,239,0,optimal,0,0,238.07,236.438,3,2.66,,,,,,
0,RPB,2026,52110141.2,52110141.2,24GX_2404/24GX_2404.lp,1323,1544,254142,809,0,0,0,360,401,0,optimal,123,0,400.708,396.672,4,1,,,,,,
1,Gasse,2026,52110141.2,52110141.2,24GX_2404/24GX_2404.lp,286,395,189886,159,1.552,12.476,0,99,140,0,optimal,0,0,140.035,138.656,4,2.86,,,,,,
2,Wei,2026,52110141.2,52110141.2,24GX_2404/24GX_2404.lp,135,245,156900,79,0.846,7.845,0,72,113,0,optimal,0,0,113.097,111.875,4,3.55,,,,,,
3,NoPgraph,2026,52110141.2,52110141.2,24GX_2404/24GX_2404.lp,230,343,142636,132,1.332,10.659,0,72,113,0,optimal,0,0,113.485,112.797,4,3.55,,,,,,
4,PGNN,2026,52110141.2,52110141.2,24GX_2404/24GX_2404.lp,279,412,159788,166,1.545,10.848,0,89,131,0,optimal,0,0,131.576,130.734,4,3.06,,,,,,
0,RPB,2026,53123750.8,53123750.8,24GX_2471/24GX_2471.lp,296,755,147300,186,0,0,0,199,272,0,optimal,21,0,271.827,268.531,5,1,,,,,,
1,Gasse,2026,53123750.8,53123750.8,24GX_2471/24GX_2471.lp,106,624,200339,59,0.621,4.882,0,62,135,0,optimal,0,0,134.33,133.609,5,2.01,,,,,,
2,Wei,2026,53123750.8,53123750.8,24GX_2471/24GX_2471.lp,92,603,196844,46,0.545,3.969,0,60,133,0,optimal,0,0,133.235,131.25,5,2.05,,,,,,
3,NoPgraph,2026,53123750.8,53123750.8,24GX_2471/24GX_2471.lp,69,550,152499,34,0.516,3.283,0,45,118,0,optimal,0,0,117.794,116.609,5,2.31,,,,,,
4,PGNN,2026,53123750.8,53123750.8,24GX_2471/24GX_2471.lp,72,611,204076,36,0.536,3.429,0,58,131,0,optimal,0,0,130.432,129.344,5,2.08,,,,,,
0,RPB,2026,52752827.1,52752827.1,24GX_2475/24GX_2475.lp,4632,6408,1006441,2653,0,0,0,1095,1185,0,optimal,293,0,1185.233,1170.797,6,1,,,,,,
1,Gasse,2026,52752827.1,52752827.1,24GX_2475/24GX_2475.lp,2729,4003,502897,1438,11.895,74.181,0,423,513,0,optimal,0,0,512.757,513.328,6,2.31,,,,,,
2,Wei,2026,52752827.1,52752827.1,24GX_2475/24GX_2475.lp,1397,2373,360501,727,6.157,37.498,0,249,340,0,optimal,0,0,339.418,337.891,6,3.49,,,,,,
3,NoPgraph,2026,52752827.1,52752827.1,24GX_2475/24GX_2475.lp,2175,3466,557706,1150,9.787,64.582,0,425,514,0,optimal,0,0,513.862,513.234,6,2.31,,,,,,
4,PGNN,2026,52752827.1,52752827.1,24GX_2475/24GX_2475.lp,928,1952,292192,488,4.356,24.776,0,181,271,0,optimal,0,0,271.541,271.234,6,4.37,,,,,,
0,RPB,2026,55338230.4,55338230.4,24GX_2502/24GX_2502.lp,1571,2275,743025,1061,0,0,0,685,751,0,optimal,193,0,751.404,742.266,7,1,,,,,,
1,Gasse,2026,55338230.4,55338230.4,24GX_2502/24GX_2502.lp,472,763,279478,266,2.292,20.072,0,144,210,0,optimal,0,0,210.582,209.672,7,3.58,,,,,,
2,Wei,2026,55338230.4,55338230.4,24GX_2502/24GX_2502.lp,495,779,337267,297,2.443,22.692,0,170,237,0,optimal,0,0,237.159,236.422,7,3.17,,,,,,
3,NoPgraph,2026,55338230.4,55338230.4,24GX_2502/24GX_2502.lp,1142,1424,369232,703,5.651,41.099,0,247,314,0,optimal,0,0,313.334,312.188,7,2.39,,,,,,
4,PGNN,2026,55338230.4,55338230.4,24GX_2502/24GX_2502.lp,772,1060,328814,473,3.952,27.298,0,189,255,0,optimal,0,0,255.002,254.141,7,2.95,,,,,,
0,RPB,2026,55325541.2,55325541.2,24GX_2505/24GX_2505.lp,1598,1813,260054,930,0,0,0,330,388,0,optimal,49,0,388.845,383.781,8,1,,,,,,
1,Gasse,2026,55325541.2,55325541.2,24GX_2505/24GX_2505.lp,301,448,170570,168,1.509,12.417,0,88,145,0,optimal,0,0,144.818,143.656,8,2.68,,,,,,
2,Wei,2026,55325541.2,55325541.2,24GX_2505/24GX_2505.lp,293,417,187447,167,1.432,13.583,0,96,154,0,optimal,0,0,153.755,152.406,8,2.52,,,,,,
3,NoPgraph,2026,55325541.2,55325541.2,24GX_2505/24GX_2505.lp,377,553,178700,208,1.799,14.546,0,91,149,0,optimal,0,0,149.04,148.609,8,2.6,,,,,,
4,PGNN,2026,55325541.2,55325541.2,24GX_2505/24GX_2505.lp,365,517,218360,204,1.808,15.789,0,111,168,0,optimal,0,0,167.876,166.125,8,2.31,,,,,,
0,RPB,2026,52542511.2,52542511.2,24GX_2571/24GX_2571.lp,621,945,252115,456,0,0,0,396,446,0,optimal,109,0,446.057,442.25,9,1,,,,,,
1,Gasse,2026,52542511.2,52542511.2,24GX_2571/24GX_2571.lp,224,516,212194,119,1.147,8.421,0,87,137,0,optimal,0,0,137.092,135.906,9,3.26,,,,,,
2,Wei,2026,52542511.2,52542511.2,24GX_2571/24GX_2571.lp,239,449,191010,129,1.215,11.409,0,78,129,0,optimal,0,0,129.589,128.125,9,3.46,,,,,,
3,NoPgraph,2026,52542511.2,52542511.2,24GX_2571/24GX_2571.lp,360,653,193139,190,1.775,13.596,0,112,162,0,optimal,0,0,162.337,161.125,9,2.75,,,,,,
4,PGNN,2026,52542511.2,52542511.2,24GX_2571/24GX_2571.lp,285,522,181023,157,1.428,9.223,0,109,160,0,optimal,0,0,159.827,159.703,9,2.79,,,,,,
0,RPB,2026,56531172,56531172,/24GX-v4-loadtest/24GX_1/24GX_1.lp,2828,3747,398589,1881,0,0,0,532,609,0,optimal,135,0,608.093,602.844,10,1,,,,,,
1,Gasse,2026,56531172,56531172,/24GX-v4-loadtest/24GX_1/24GX_1.lp,2411,3531,903427,1358,11.395,81.367,0,687,764,0,optimal,0,0,764.25,760.547,10,0.8,,,,,,
