Auxiliary column,policy,seed,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
0,RPB,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1791,2629,381358,1283,0,0,0,265,307,0,optimal,242,0,307.026,292.594,1,1,764,122,1800,1,1,1
1,Gasse_80k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1305,1771,492049,806,3.609,17.576,0,165,191,0,optimal,0,0,191.094,184.875,1,1.61,545,52,1800,1.62,0.99,2.52
2,Wei_80k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1493,2067,523893,863,3.499,18.288,0,170,215,0,optimal,0,0,215.669,208.562,1,1.43,490,53,1800,1.91,1,3.7
3,NoAMILP_80k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1933,2421,463152,1129,4.534,24.041,0,197,239,0,optimal,0,0,238.562,230.234,1,1.28,492,47,1800,1.84,1,3.57
4,PGNN_80k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1842,2525,612652,1072,4.551,22.677,0,217,261,0,optimal,0,0,260.808,250.062,1,1.18,502,53,1492,1.65,0.97,2.47
0,RPB,2026,576237.5,576237.5,case118_2405/case118_2405.lp,2770,4587,526722,1951,0,0,0,230,251,0,optimal,430,1,250.487,248.969,2,1,,,,,,
1,Gasse_80k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,1611,2336,359668,896,3.797,18.329,0,164,205,0,optimal,0,0,205.873,197.297,2,1.22,,,,,,
2,Wei_80k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,1570,2315,314715,829,3.311,16.806,0,140,179,0,optimal,0,0,179.628,172.391,2,1.4,,,,,,
3,NoAMILP_80k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,1752,2304,416900,918,1.925,15.579,0,110,131,0,optimal,0,0,131.851,131.141,2,1.92,,,,,,
4,PGNN_80k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,2359,3267,551152,1313,2.631,22.144,0,140,161,0,optimal,0,0,161.817,161.391,2,1.56,,,,,,
0,RPB,2026,589534.9,589534.9,case118_2433/case118_2433.lp,4264,9025,1440083,3608,0,0,0,945,985,0,optimal,1301,0,985.08,946.078,3,1,,,,,,
1,Gasse_80k,2026,589534.9,589534.9,case118_2433/case118_2433.lp,5797,7170,1671696,3248,12.669,69.76,0,698,719,0,optimal,0,0,718.949,695.75,3,1.37,,,,,,
2,Wei_80k,2026,589534.9,589534.9,case118_2433/case118_2433.lp,5902,7156,1332308,3074,12.449,67.001,0,653,691,0,optimal,0,0,690.866,665.562,3,1.43,,,,,,
3,NoAMILP_80k,2026,589534.9,589534.9,case118_2433/case118_2433.lp,6201,8160,1671831,3426,13.752,74.518,0,774,814,0,optimal,0,0,814.848,785.078,3,1.21,,,,,,
