Auxiliary column,policy,seed,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
0,RPB,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1791,2629,381358,1283,0,0,0,242,281,0,optimal,242,0,281.166,272.469,1,1,651,71,1800,1,1,1
1,Gasse,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1243,1647,409365,697,2.858,15.762,0,131,166,0,optimal,0,0,165.771,159.609,1,1.69,480,28,1800,1.61,0.78,2.61
2,Wei,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1289,1723,447943,769,2.987,15.645,0,136,176,0,optimal,0,0,176.221,171.203,1,1.6,435,23,1700,1.76,1.06,3.22
3,NoPgraph,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1399,1853,452434,812,3.126,16.493,0,140,179,0,optimal,0,0,178.801,173.969,1,1.57,409,32,1643,1.97,1.09,4.15
4,NoAMILP,2026,566004.1,566004.1,case118_2404/case118_2404.lp,2088,2400,359807,1310,2.7,20.56,0,100,123,0,optimal,0,0,123.197,121.547,1,2.28,447,36,1800,1.87,0.75,4.47
5,PGNN,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1202,1663,436845,708,2.89,14.377,0,135,174,0,optimal,0,0,173.718,168.141,1,1.61,438,31,1800,1.79,1,2.76
0,RPB,2026,576237.5,576237.5,case118_2405/case118_2405.lp,2770,4587,526722,1951,0,0,0,362,388,0,optimal,430,1,387.896,376.078,2,1,,,,,,
1,Gasse,2026,576237.5,576237.5,case118_2405/case118_2405.lp,1930,2466,338982,997,4.047,20.196,0,157,193,0,optimal,0,0,193.825,187.562,2,2.01,,,,,,
2,Wei,2026,576237.5,576237.5,case118_2405/case118_2405.lp,1987,2589,365379,1030,3.433,20.211,0,152,187,0,optimal,0,0,186.965,182.031,2,2.07,,,,,,
3,NoPgraph,2026,576237.5,576237.5,case118_2405/case118_2405.lp,1817,2481,362171,966,3.713,19.41,0,158,194,0,optimal,0,0,193.42,187.781,2,2,,,,,,
